neurons,hidden_layers,lr,activation_funcs,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,num_epoch
1, [200; 100; 50],1.00E-05, Sigmoid,2.235150617,18.465,2.233424458,17.9,2.267861765,18.95,9
2, [200; 100; 50],1.00E-05, Sigmoid,2.076327316,24.835,2.081261236,24.22,2.077832133,24.81,29
3, [200; 100; 50],1.00E-05, Sigmoid,2.040221114,26.58,2.051305283,26.02,2.044595229,26.38,29
1, [200; 100],1.00E-05, Sigmoid,2.071735446,26.5575,2.079444396,26.08,2.073415786,26.74,29
2, [200; 100],1.00E-05, Sigmoid,2.020101439,28.725,2.034961669,27.92,2.027798736,28.7,28
3, [200; 100],1.00E-05, Sigmoid,2.004525553,29.5875,2.022519321,28.77,2.012409669,29.67,29
3, [200; 100],0.01, ReLU,1.774269962,34.575,1.986568019,29.06,1.935491247,30.47,7
1, [200],1.00E-05, Sigmoid,2.00970322,30.575,2.032647727,29.14,2.023168037,30.22,27
3, [200],1.00E-05, Sigmoid,1.995835954,30.9825,2.024934649,29.57,2.013193834,30.71,28
2, [200],1.00E-05, Sigmoid,1.999808962,30.8325,2.026383759,29.6,2.014310731,30.45,29
3, [200],0.01, Sigmoid,1.539471496,47.735,2.163117572,31.9,2.045471721,33.77,13
1, [200; 100; 50],1.00E-05, ReLU,1.849820597,34.6775,1.882951991,32.67,1.866251285,34.38,29
2, [200; 100],0.01, ReLU,1.570460036,42.2125,1.995021642,32.78,1.855931774,34.95,10
2, [200],0.01, Sigmoid,1.316354651,54.9675,2.239601241,33.28,2.133270083,34.8,25
3, [200; 100; 50],0.01, Sigmoid,1.762303255,37.13,1.870561097,33.37,1.862423876,34.34,14
1, [200; 100],1.00E-05, ReLU,1.821097959,36.0575,1.859474959,33.82,1.842678933,35.49,29
1, [200],1.00E-05, ReLU,1.81912506,36.8175,1.86240922,34.06,1.844062024,35.89,29
3, [200; 100],0.01, Sigmoid,1.69192677,39.855,1.866590367,34.35,1.837153382,35.48,17
2, [200; 100; 50],0.01, Sigmoid,1.723275545,38.455,1.848487674,34.37,1.850104703,34.05,10
1, [200],0.01, Sigmoid,1.525795358,46.6575,1.93830959,34.69,1.906127305,35.6,14
2, [200; 100],0.01, Sigmoid,1.656004957,41.03,1.840740208,35.16,1.800696584,36.83,9
2, [200],1.00E-05, ReLU,1.779276649,38.5925,1.830600441,35.31,1.815008868,36.64,29
3, [200],1.00E-05, ReLU,1.748633607,39.73,1.808266309,36.04,1.793286865,37.39,28
2, [200; 100; 50],1.00E-05, ReLU,1.752267774,38.64,1.804508463,36.09,1.782987752,37.45,29
3, [200],0.01, ReLU,1.826414291,44.4325,2.258429539,36.18,2.026125956,38.4,5
2, [200],0.01, ReLU,1.480148461,52.87,2.398908099,36.23,2.183231997,37.55,19
2, [200; 100],1.00E-05, ReLU,1.742828078,39.335,1.795974928,36.59,1.777717335,37.41,29
1, [200; 100; 50],0.01, Sigmoid,1.495678681,46.5325,1.838358241,36.65,1.802841259,37.52,21
1, [200],0.01, ReLU,1.538255237,48.1075,2.071296235,37.06,1.93787388,37.07,10
1, [200; 100],0.01, Sigmoid,1.544536592,45.1425,1.796962147,37.19,1.770108636,37.77,11
3, [200; 100],1.00E-05, ReLU,1.682325103,41.8825,1.753416605,38,1.733210977,39.36,29
1, [200; 100],0.01, ReLU,1.443617025,48.2625,1.835661665,38.11,1.819194656,38.3,10
3, [200; 100; 50],1.00E-05, ReLU,1.683425412,41.3525,1.750275072,38.22,1.73369179,38.83,29
1, [200; 100; 50],0.001, Sigmoid,1.108087029,60.0275,2.040466336,38.28,1.856861578,38.67,20
3, [200; 100; 50],0.01, ReLU,1.34008404,51.6175,2.010812592,38.3,1.862029255,40.09,18
1, [200; 100],0.001, Sigmoid,1.156488763,59.5,1.858833257,38.77,1.735679008,39.83,17
2, [200; 100; 50],0.001, Sigmoid,0.973145674,64.9325,2.007044789,39.63,1.770585803,39.71,13
1, [200],0.001, Sigmoid,1.234003017,58.2775,1.739234675,39.64,1.721267493,39.98,17
1, [200; 100; 50],0.01, ReLU,1.252121085,55.7675,1.917191489,39.78,1.80238466,40.46,20
3, [200; 100; 50],0.001, Sigmoid,0.911965965,67.535,2.000991664,39.95,1.702404855,42.13,11
3, [200],0.001, Sigmoid,0.810988684,75.11,1.832363225,40.09,1.728321329,41.99,18
2, [200; 100; 50],0.01, ReLU,1.370010897,51.6825,1.877004904,40.14,1.764341985,39.69,12
2, [200],0.001, Sigmoid,0.967016275,69.29,1.777512015,40.21,1.733994319,40.65,18
2, [200; 100],0.001, Sigmoid,0.891651792,69.0925,1.976431669,40.5,1.744043045,41.59,15
3, [200; 100],0.001, Sigmoid,0.819449529,72.035,1.957112145,40.92,1.694737519,42.28,13
3, [200],0.001, ReLU,0.584568485,80.66,2.246942772,42.68,1.915433378,43.96,17
2, [200],0.001, ReLU,0.958579844,67.1875,1.85001748,43.06,1.667921892,43.96,9
1, [200],0.001, ReLU,1.123701519,61.0625,1.722576031,43.55,1.646378654,44.22,9
3, [200; 100],0.001, ReLU,0.54952014,81.1025,2.28979435,43.66,1.692635022,45.93,8
3, [200; 100; 50],0.001, ReLU,0.628708468,77.52,2.241379579,43.94,1.641299969,45.8,7
1, [200; 100; 50],0.001, ReLU,0.85225426,69.8025,1.948075166,44.24,1.684168482,45.19,12
1, [200; 100],0.001, ReLU,0.861709653,69.715,1.931256137,44.27,1.69612661,45.02,12
2, [200; 100; 50],0.001, ReLU,0.694790069,75.565,2.076034037,44.8,1.68210734,45.93,8
2, [200; 100],0.001, ReLU,0.647199772,77.5225,2.041052835,45.22,1.683915057,45.25,9
